id|English|Español
MENUBAR_FILE_CLOSEALL|Close all|Cerrar todo
MENUBAR_FILE_CLOSESCENE|Close scene|Cerrar escena
MENUBAR_FILE_NEWSCENE|New scene|Nueva escena
MENUBAR_FILE_OPENSCENE|Open scene|Abrir escena
MENUBAR_FILE_QUIT|Quit|Salir
MENUBAR_FILE_SAVEAS|Save as|Guardar como
MENUBAR_FILE_SAVESCENE|Save scene|Guardar escena
MENUBAR_WINDOWS|Windows|Ventanas
MODULE_ANALISIS_HYPER|Hyperspectral analysis|Análisis hiperespectral
MODULE_EXPERIMENTAL|Experimental|Experimental
MODULE_FUSION|Fusion|Fusión
MODULE_HIPERESPECTRAL|Hyperspectral|Hiperespectral
MODULE_MULTIESPECTRAL|Multispectral|Multiespectral
MODULE_NORMALS|Normal comparison|Comparación de normales
MODULE_THERMAL|Thermal|Térmica
MODULE_RECONSTRUCCION|Point cloud densification|Densificación de la nube de puntos
MODULE_SEGMENTATION|Tree segmentation|Segmentación de árboles
MODULE_SPECTRALANALYSIS|Spectral analysis|Análisis espectral
MULTIESP_CALIBRATION_NEEDCHECK|Need calibration file?|¿Utilizar fichero de calibración?
MULTIESP_CALIBRATIONFILE_OPEN|Open calibration file|Abrir fichero de calibración
MULTIESP_CAMDIR_DEFAULT_VALUE|Images directory has not been selected|No se ha seleccionado el directorio con las imágenes
MULTIESP_CAMDIR_OPEN|Select images directory|Seleccionar el directorio de imágenes
MULTIESP_CAMERAS_NONE|No camera available|No hay cámaras disponibles
MULTIESP_CAMFILE_DEFAULT_VALUE|Cameras file has not been selected|No se ha seleccionado el fichero de cámaras
MULTIESP_CAMFILE_OPEN|Open cameras file|Abrir fichero de cámaras
MULTIESP_CLEAR|Clear data|Borrar datos
MULTIESP_FUSION_TABNAME|Data fusion|Fusión de datos
MULTIESP_GRADIENT_REFLECT|Reflectance gradient|Gradiente de reflectancia
MULTIESP_ICP_NEEDCHECK|Need ICP alignment?|¿Necesita fichero de alineamiento?
MULTIESP_OFFSET_NEEDCHECK|Need offset?|¿Aplicar offset?
MULTIESP_ICPFILE_DEFAULT_VALUE|The ICP transformation matrix has not been selected|No se ha seleccionado el fichero con la matriz de transformación ICP
MULTIESP_ICPFILE_OPEN|Open ICP matrix file|Abrir fichero con matriz ICP
MULTIESP_KVALSFILE_DEFAULT_VALUE|The calibration file has not been selected|No se ha seleccionado el fichero de calibración
MULTIESP_MAPPING|3D mapping|Mapeo 3D
MULTIESP_PROGRESS_END|Finishing process...|Finalizando proceso...
MULTIESP_PROGRESS_PROJECTION|Starting projection process...|Iniciando proceso de proyección...
MULTIESP_PROGRESS_START|Calculating normals...|Calculando normales...
MULTIESP_PROGRESS_STATUS|Projection progress:|Progreso de la proyección:
MULTIESP_MAKER|Manufacturer|Fabricante
MULTIESP_MODEL|Model|Modelo
MULTIESP_IMGS_FOUND|images found|imágenes encontradas
MULTIESP_SFM_IMAGES|images from SFM metadata found|imágenes en los metadatos SFM
MULTIESP_MISMATCH_IMGS|Mismatch between the number of camera poses from SFM and the number of files in selected images folder|El número de cámaras en el fichero SFM no coincide con el número de ficheros en la carpeta de imágenes seleccionada.
MULTIESP_OFFSETFILE_OPEN|Open offset file|Abrir fichero de offset
GENERIC_COMPATIBLE|Compatible|Compatible
GENERIC_INCOMPATIBLE|Incompatible|Incompatible
NAS_ERROR_NOTLOGGED|No session active with NAS server|No se ha iniciado sesión en el servidor NAS
NAS_FAILED_DOWNLOAD|There was an error while downloading data from NAS|Ha habido un error durante la descarga de datos del NAS
NAS_FAILED_UPLOAD|There was an error while uploading data to NAS|Ha habido un error durante la subida de datos al NAS
NAS_NOT_LOGGED_ERROR|You must be logged in the NAS before uploading a new file|Debe iniciar sesion en el NAS antes de subir cualquier fichero
NAS_SUCCESSFUL_DOWNLOAD|The data download from NAS was succesful|Se ha completado con éxito la descarga de datos del NAS
NORMALS_COMPARISON_COMPARE|Compare|Comparar
NORMALS_COMPARISON_FIRST|First cloud|Primera nube
